estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
0.9879129734085415,0.9851655999835203,0.99015037501975,0.9854309056196775,0.9903950411974054,precision,0.8,0,0,0
0.9972024494109601,0.9965625449851764,0.9977220379928395,0.9966252785014897,0.9977796203204305,specificity,0.8,0,0,0
0.7884244372990353,NA,NA,0.7825642291454874,0.7942846454525833,F1,0.8,0,0,0
0.6301052256108436,0.6211259340241678,0.6389941772497668,0.621169672631404,0.6390407785902832,recall,0.8250000000000001,0,0,0
0.9027313587645499,0.8999067970402774,0.9054836262244378,0.8999429787610183,0.9055197387680816,accuracy,0.8250000000000001,0,0,0
0.9899131409358364,0.9873156854624193,0.9919764987146008,0.9875949760629199,0.9922313058087529,precision,0.8250000000000001,0,0,0
0.9977619595287681,0.9971824641720513,0.9982210151684748,0.9972455773686252,0.998278341688911,specificity,0.8250000000000001,0,0,0
0.770052310374891,NA,NA,0.7639641089782917,0.7761405117714902,F1,0.8250000000000001,0,0,0
0.6013019439985732,0.5922058459307905,0.6103277019575052,0.5922395245683475,0.6103643634287989,recall,0.8500000000000001,0,0,0
0.8957243286850294,0.892812951873231,0.8985646690246317,0.8928484871435372,0.8986001702265216,accuracy,0.8500000000000001,0,0,0
0.9922012948793408,0.9898128642968809,0.9940262373570248,0.9901098783760429,0.9942927113826387,precision,0.8500000000000001,0,0,0
0.9983525535420099,0.9978457132974354,0.998738831739902,0.997909382461886,0.9987957246221338,specificity,0.8500000000000001,0,0,0
0.7488062187673514,NA,NA,0.7424720682689737,0.7551403692657291,F1,0.8500000000000001,0,0,0
0.5642946317103621,0.555096338021986,0.5734482817060262,0.555117114443404,0.5734721489773202,recall,0.875,0,0,0
0.8865045522646076,0.8834850605209902,0.8894546625351353,0.8835197471739286,0.8894893573552866,accuracy,0.875,0,0,0
0.9940307885642475,0.9918171919570109,0.9956407694926414,0.9921385270634173,0.9959230500650778,precision,0.875,0,0,0
0.9988188119735165,0.9983791343166827,0.9991378453438313,0.9984434704040269,0.9991941535430061,specificity,0.875,0,0,0
0.7199089874857793,NA,NA,0.7132710215338266,0.7265469534377319,F1,0.875,0,0,0
0.5166755840913144,0.5074221743044611,0.5259174149985955,0.5074263849026269,0.5259247832800019,recall,0.9,0,0,0
0.8743805462717529,0.8712283347206196,0.8774655526861841,0.8712619082887535,0.8774991842547523,accuracy,0.9,0,0,0
0.9948489010989011,0.9926558473488296,0.9963812558574828,0.9930103576626372,0.996687444535165,precision,0.9,0,0,0
0.9990674831369867,0.9986690809654245,0.9993452094209264,0.9987339418884543,0.999401024385519,specificity,0.9,0,0,0
0.6801267754431272,NA,NA,0.6731230252911717,0.6871305255950826,F1,0.9,0,0,0
0.4514000356696986,0.4422079425205768,0.4606258747477183,0.44218950872218366,0.46061056261721356,recall,0.925,0,0,0
0.8577388498328915,0.8544197448900039,0.8609937369467274,0.854451794848376,0.861025904817407,accuracy,0.925,0,0,0
0.996064541519087,0.9939297092872134,0.9974408230239806,0.9943431480595326,0.9977859349786413,precision,0.925,0,0,0
0.9993783220913245,0.9990400612098433,0.9995958987422858,0.9991059444398793,0.9996506997427697,specificity,0.925,0,0,0
0.6212567501227295,NA,NA,0.6138090261184208,0.6287044741270382,F1,0.925,0,0,0
0.3647226680934546,0.3558618495721848,0.37367741786207254,0.35581346512466683,0.3736318710622424,recall,0.9500000000000001,0,0,0
0.8355652875417771,0.8320472879222214,0.8390230496718715,0.8320773137196403,0.8390532613639138,accuracy,0.9500000000000001,0,0,0
0.9975609756097561,0.9955202278407825,0.9986602823176751,0.9960510973208551,0.9990708538986571,precision,0.9500000000000001,0,0,0
0.9996891610456622,0.9994284484021655,0.9998293066888301,0.9994965310111851,0.9998817910801393,specificity,0.9500000000000001,0,0,0
0.5341517565626225,NA,NA,0.5262510430972087,0.5420524700280362,F1,0.9500000000000001,0,0,0
