lat,lon,total_acres,pseu_acres,abies_acres
49.75,-117.25,87602.57465495613,18141.80978670019,77382.27427854456
49.5,-117.25,110220.94791277262,52280.91663551396,70963.74716510905
49.25,-117.25,102859.46665016703,59221.17930949137,53681.283257022595
54,-117,47.8865760407806,0,47.8865760407806
53.75,-117,143.49634420697424,0,143.49634420697424
53.5,-117,15.917108568238135,0,15.917108568238135
51.75,-127,53917.54989384288,7590.028927813162,52925.492170912934
53.25,-117,0,0,0
53,-117,2856.9491059147163,0,2856.9491059147163
52.75,-117,1109.6161726540086,0,1109.6161726540086
52.5,-117,1170.7187203470226,0,1170.7187203470226
52.25,-117,3840.486399138162,0,3840.486399138162
52,-117,16958.875818740817,804.5606202379358,16564.483357839817
51.75,-117,18817.602839702755,2283.3074575371497,17447.61836518048
51.5,-117,69329.60753821823,33839.26410121242,41339.881655245095
51.25,-117,79484.19416459503,35755.330629334,50117.10741855292
51,-117,58093.74161684427,5376.727839875226,57137.53054328053
51.5,-127,56115.368796198505,4362.603748680038,54556.17106652587
50.75,-117,47883.66017288096,15705.715391562353,34868.56534640688
50.5,-117,72265.21803740712,37069.49602869585,41816.39021265696
50.25,-117,93699.1042117318,61894.4165924418,40223.57551851375
50,-117,90359.56121288688,43615.95489576759,56764.539229311435
49.75,-117,77366.74190715185,30956.01618569642,51505.343538268506
49.5,-117,107972.80647975084,32311.21894080994,87599.99376947038
49.25,-117,105384.25513486764,11944.889878742884,99257.08364266272
51.25,-127,60828.651465798044,6284.758957654722,57311.79153094464
54,-116.75,15.962192013593533,0,15.962192013593533
53.75,-116.75,0,0,0
53.5,-116.75,0,0,0
53.25,-116.75,0,0,0
53,-116.75,285.6949105914716,0,285.6949105914716
52.75,-116.75,1267.6133260513363,0,1267.6133260513363
52.5,-116.75,1662.0561508205615,0,1662.0561508205615
52.25,-116.75,2449.0333871836265,0,2449.0333871836265
52,-116.75,14935.593478551426,1309.0330081518139,13863.132700788407
51,-127,44545.0472352088,17693.58052555218,29884.65194260837
51.75,-116.75,27784.99017786041,4772.591850278738,24445.750995487087
51.5,-116.75,41355.60622034789,4623.022140221397,38430.8371112283
51.25,-116.75,71457.22690395183,29920.35906830674,46623.01491756079
51,-116.75,66469.9410159802,33062.60621021176,38358.89099649219
50.75,-116.75,41767.191330150956,2659.334279447815,40750.387046832635
50.5,-116.75,47590.4386212199,8730.90094823167,42826.70912352637
50.25,-116.75,64879.54351145044,15962.674809160362,54669.043511450356
50,-116.75,69070.96627510426,32699.81331312372,43636.049640015175
49.75,-116.75,86578.9627212251,43118.56093887289,50809.979917158285
49.5,-116.75,81476.2968360738,42218.267563527705,46712.87020428506
51.5,-128,9497.950248756213,107.93125282677482,9417.001809136142
50.75,-127,45617.785378366774,42818.51218469427,3784.202650705433
49.25,-116.75,90112.74437020539,46417.965850037166,51353.742885424384
54,-116.5,0,0,0
53.75,-116.5,0,0,0
53.5,-116.5,0,0,0
53.25,-116.5,0,0,0
53,-116.5,15.871939477303851,0,15.871939477303851
